Region,Keyword,Score
Africa,health,65.08418389680374
Africa,africa,36.8978845948761
Africa,vaccine,32.10232574708115
Africa,ebola,30.393125040845838
Africa,year,30.35894245118371
Africa,response,29.6855031765468
Africa,disease,22.46739523152256
Africa,vaccination,22.4181478040141
Africa,fight,22.235675184620277
Africa,community,22.17656513972819
Africa,care,21.384041008953524
Africa,country,20.63758518004047
Africa,nigeria,19.61022010828685
Africa,child,19.06444827312919
Africa,outbreak,18.829691088141345
Africa,congo,18.228511176148306
Africa,republic,15.761552766702405
Africa,cholera,15.750865902771018
Africa,hiv,13.549290497340051
Africa,case,13.082563634634317
Americas,health,780.9085644636862
Americas,paho,690.5469702845604
Americas,america,425.13075907737357
Americas,country,319.41952348294933
Americas,organization,317.1010233898613
Americas,world,308.4880081923483
Americas,health organization,292.6766422459282
Americas,american,292.6121412231433
Americas,washington,282.30451679037145
Americas,pan,275.5617795379833
Americas,new,268.8408674993011
Americas,pan american,266.6131789561085
Americas,director,256.30874040184017
Americas,american health,251.38999048315418
Americas,disease,210.491418200311
Americas,organization paho,204.2865157295773
Americas,world health,179.51507174544338
Americas,people,178.31007489523213
Americas,today,166.26406305695107
Americas,paho director,152.3874224619811
Europe,health,5.167567267939735
Europe,new,4.473028609119243
Europe,europe,2.7715688427523792
Europe,care,2.0921188890439124
Europe,digital,2.03848322131267
Europe,centre,1.7487249783775067
Europe,region,1.7478479979719275
Europe,case,1.7379023681738013
Europe,health care,1.7231019551038669
Europe,management,1.6105954577744135
Europe,service,1.6029157833685943
Europe,health service,1.6029157833685943
Europe,strengthen,1.5906831597663134
Europe,unicef,1.543364330232791
Europe,mental,1.3610087756422655
Europe,mental health,1.3610087756422655
Europe,study,1.29841288605485
Europe,new study,1.29841288605485
Europe,new collaborating,1.175566676838709
Europe,new evidence,1.1403942799768623
Western Pacific,health,13.21704908985099
Western Pacific,pacific,9.021836269105837
Western Pacific,western,7.708785730469793
Western Pacific,western pacific,7.708785730469793
Western Pacific,action,6.171035200604013
Western Pacific,asia,4.66932495141824
Western Pacific,regional,4.153908954673151
Western Pacific,leader,3.8459803944415984
Western Pacific,asia pacific,3.816364358104557
Western Pacific,people,3.677497482218148
Western Pacific,region,3.2816632244936366
Western Pacific,country,3.189977172142443
Western Pacific,health leader,3.1369476299592325
Western Pacific,strengthen,3.082340564573185
Western Pacific,santé,2.343554578225061
Western Pacific,new,2.33619733628667
Western Pacific,agree,2.242410949977648
Western Pacific,strengthen health,1.9034197569580973
Western Pacific,workforce,1.810884561596683
Western Pacific,les,1.7264774853377596
